visa_center,appointment_type,visa_type,Earliest_booking_time
"Italy Visa Application Center, Jinan",意大利签证申请,NORMAL JINAN,很抱歉，目前没有可预约时段。请稍后再试。
"Italy Visa Application Center, Jinan",意大利签证申请,VIP JINAN,很抱歉，目前没有可预约时段。请稍后再试。
南京意大利签证申请中心,STANDARD NANJING,NANJING STANDARD,很抱歉，目前没有可预约时段。请稍后再试。
成都意大利签证申请中心,意大利签证申请,成都普通,很抱歉，目前没有可预约时段。请稍后再试。
成都意大利签证申请中心,意大利签证申请,成都贵宾,很抱歉，目前没有可预约时段。请稍后再试。
昆明意大利签证申请中心,意大利签证申请,VIP 1,很抱歉，目前没有可预约时段。请稍后再试。
昆明意大利签证申请中心,意大利签证申请,昆明普通,很抱歉，目前没有可预约时段。请稍后再试。
武汉意大利签证申请中心,意大利签证申请,VIP WUHAN,很抱歉，目前没有可预约时段。请稍后再试。
武汉意大利签证申请中心,意大利签证申请,NORMAL WUHAN
福州意大利签证申请中心,Schengen visa,C visa / Schengen visa,很抱歉，目前没有可预约时段。请稍后再试。
西安意大利签证申请中心,意大利签证申请,NORMAL XIAN,很抱歉，目前没有可预约时段。请稍后再试。
西安意大利签证申请中心,意大利签证申请,VIP XIAN,很抱歉，目前没有可预约时段。请稍后再试。
重庆意大利签证申请中心,CHONGQING APPOINTMENTS,CHONGQING VIP,很抱歉，目前没有可预约时段。请稍后再试。
重庆意大利签证申请中心,CHONGQING APPOINTMENTS,STANDARD,很抱歉，目前没有可预约时段。请稍后再试。
长沙意大利签证申请中心,Schengen visa,C visa / Schengen visa,很抱歉，目前没有可预约时段。请稍后再试。
上海,Shanghai Appointment,"Shanghai Appointment VIP"
上海,意大利签证申请,SHANGHAI individual
"北京意大利签证申请中心",意大利签证申请,北京普通
"北京意大利签证申请中心",意大利签证申请,北京贵宾
"北京意大利签证申请中心",意大利签证申请,SUNDAY VIP BEIJING
"南京意大利签证申请中心",STANDARD NANJING,NANJING STANDARD
沈阳意大利签证申请中心,意大利签证申请,NORMAL SHENYANG
沈阳意大利签证申请中心,意大利签证申请,VIP SHENYANG
广州意大利签证申请中心,Schengen visa,Schengen visa GZ
